id_store_bank;tx_createdate;tx_status;tx_company_code;tx_gl_account;tx_store_bank_code;tx_store_code
186;2023-07-16 13:00:39;CREATED;AZALEIA;1013171;CAJA TDA OP ATOCONGO - NIUBIZ;ST025
187;2023-07-16 13:00:39;CREATED;AZALEIA;1013172;CAJA TDA OP ATOCONGO - IZIPAY;ST025
188;2023-07-16 13:00:39;CREATED;AZALEIA;1013173;CAJA TDA OP ATOCONGO - CULQI;ST025
189;2023-07-16 13:00:39;CREATED;AZALEIA;1013174;CAJA TDA OP ATOCONGO - AMEX;ST025
190;2023-07-16 13:00:39;CREATED;AZALEIA;1013175;CAJA TDA OP ATOCONGO - DINERS;ST025
191;2023-07-16 13:00:39;CREATED;AZALEIA;1013176;CAJA TDA OP PIURA - NIUBIZ;ST024
192;2023-07-16 13:00:39;CREATED;AZALEIA;1013177;CAJA TDA OP PIURA - IZIPAY;ST024
193;2023-07-16 13:00:39;CREATED;AZALEIA;1013178;CAJA TDA OP PIURA - CULQI;ST024
194;2023-07-16 13:00:39;CREATED;AZALEIA;1013179;CAJA TDA OP PIURA - AMEX;ST024
195;2023-07-16 13:00:39;CREATED;AZALEIA;1013180;CAJA TDA OP PIURA - DINERS;ST024
196;2023-07-16 13:00:39;CREATED;AZALEIA;1013181;CAJA TDA JOCKEY PLAZA - NIUBIZ;ST003
197;2023-07-16 13:00:39;CREATED;AZALEIA;1013182;CAJA TDA JOCKEY PLAZA - IZIPAY;ST003
198;2023-07-16 13:00:39;CREATED;AZALEIA;1013183;CAJA TDA JOCKEY PLAZA - CULQI;ST003
199;2023-07-16 13:00:39;CREATED;AZALEIA;1013184;CAJA TDA JOCKEY PLAZA - AMEX;ST003
200;2023-07-16 13:00:39;CREATED;AZALEIA;1013185;CAJA TDA JOCKEY PLAZA - DINERS;ST003
201;2023-07-16 13:00:39;CREATED;AZALEIA;1013186;CAJA TDA TRUJILLO - NIUBIZ;ST022
202;2023-07-16 13:00:39;CREATED;AZALEIA;1013187;CAJA TDA TRUJILLO - IZIPAY;ST022
203;2023-07-16 13:00:39;CREATED;AZALEIA;1013188;CAJA TDA TRUJILLO - CULQI;ST022
204;2023-07-16 13:00:39;CREATED;AZALEIA;1013189;CAJA TDA TRUJILLO - AMEX;ST022
205;2023-07-16 13:00:39;CREATED;AZALEIA;1013190;CAJA TDA TRUJILLO - DINERS;ST022
206;2023-07-16 13:00:39;CREATED;AZALEIA;1013191;CAJA TDA M.PLAZ.TRUJ.OLY - NIUBIZ;ST062
207;2023-07-16 13:00:39;CREATED;AZALEIA;1013192;CAJA TDA M.PLAZ.TRUJ.OLY - IZIPAY;ST062
